id,open,high,low,close,volume,adj_close,company,exchange,date
49,151.58,152.43,150.64,150.96,60278200.0,150.96,AAPL,XNAS,2021-11-04
50,150.39,151.97,149.83,151.49,51035964.0,151.49,AAPL,XNAS,2021-11-03
51,148.66,151.57,148.65,150.02,69064800.0,150.02,AAPL,XNAS,2021-11-02
52,148.985,149.7,147.8,148.96,74588258.0,148.96,AAPL,XNAS,2021-11-01
53,147.22,149.94,146.41,149.8,124850400.0,149.8,AAPL,XNAS,2021-10-29
54,149.82,153.165,149.72,152.57,100077888.0,152.57,AAPL,XNAS,2021-10-28
55,149.36,149.73,148.49,148.85,51361252.0,148.85,AAPL,XNAS,2021-10-27
56,149.33,150.84,149.01,149.32,60811700.0,149.32,AAPL,XNAS,2021-10-26
57,148.68,149.37,147.6211,148.64,50720561.0,148.64,AAPL,XNAS,2021-10-25
58,149.69,150.18,148.64,148.69,58839600.0,148.69,AAPL,XNAS,2021-10-22
59,148.81,149.64,147.87,149.48,61314200.0,149.48,AAPL,XNAS,2021-10-21
60,148.7,149.7522,148.12,149.26,58418788.0,149.26,AAPL,XNAS,2021-10-20
61,147.01,149.17,146.55,148.76,76248300.0,148.76,AAPL,XNAS,2021-10-19
62,143.445,146.84,143.16,146.55,79797028.0,146.55,AAPL,XNAS,2021-10-18
63,143.77,144.9,143.51,144.84,67885200.0,144.84,AAPL,XNAS,2021-10-15
64,142.11,143.88,141.51,143.76,69907100.0,143.76,AAPL,XNAS,2021-10-14
65,141.235,141.4,139.2,140.91,74732031.0,140.91,AAPL,XNAS,2021-10-13
66,143.23,143.25,141.0401,141.51,73035862.0,141.51,AAPL,XNAS,2021-10-12
67,142.27,144.81,141.81,142.81,63012662.0,142.81,AAPL,XNAS,2021-10-11
68,144.03,144.18,142.56,142.9,58718700.0,142.9,AAPL,XNAS,2021-10-08
69,143.06,144.215,142.73,143.29,61732656.0,143.29,AAPL,XNAS,2021-10-07
70,139.47,142.15,138.37,142.0,83049259.0,142.0,AAPL,XNAS,2021-10-06
71,139.49,142.24,139.36,141.11,80861062.0,141.11,AAPL,XNAS,2021-10-05
72,141.76,142.21,138.27,139.14,98078066.0,139.14,AAPL,XNAS,2021-10-04
73,141.9,142.92,139.1101,142.65,94639581.0,142.65,AAPL,XNAS,2021-10-01
74,143.66,144.378,141.3,141.5,88625397.0,141.5,AAPL,XNAS,2021-09-30
75,142.47,144.45,142.03,142.83,74602044.0,142.83,AAPL,XNAS,2021-09-29
76,143.25,144.75,141.7,141.91,108972340.0,141.91,AAPL,XNAS,2021-09-28
77,145.47,145.95,143.82,145.37,73852016.0,145.37,AAPL,XNAS,2021-09-27
78,145.66,147.47,145.56,146.92,53434200.0,146.92,AAPL,XNAS,2021-09-24
